product_id,product_name,category,subcategory,brand,price,cost,profit_margin,description,image_url,weight_kg,created_at
1,Johnson-Davis Skincare Kit,Beauty,Skincare,"Gonzalez, Santos and Gardner",14.75,7.52,49.02,"Operation speak according south recently future choice. Bill here grow gas enough analysis.
By two bad fall pick those gun. Relate animal direction eye bag. Term herself law street class.",https://picsum.photos/432/644,11.85,2025-08-28 23:35:57
2,Premium Smartphones Pro,Electronics,Smartphones,Hicks Inc,232.71,114.74,50.69,"Check civil quite others.
Other life edge network wall quite. Race Mr environment political. Fall citizen about reveal.",https://dummyimage.com/39x229,4.49,2025-11-23 16:44:58
3,The Soon No,Books,Educational,Hickman Ltd,41.42,16.68,59.73,"Human public health tonight later. Different full open discover detail.
Arrive attack all form method everything magazine much. Office drug list imagine behind probably great.",https://placekitten.com/200/103,2.13,2025-07-15 09:06:46
4,Fitness Champion,Sports,Fitness,Mitchell-Horton,185.9,99.94,46.24,"Choice father why often my security arm. Live try most arm meet surface attention attack. Identify walk now often always.
Price north first end prove fire. How public feel first sell.",https://dummyimage.com/140x500,1.67,2025-04-07 02:44:35
5,Modern Lighting Piece,Home & Garden,Lighting,Campbell-Clark,1330.47,724.65,45.53,"Reach table measure economy traditional. Begin interest everybody. Four capital woman.
Necessary into act away third tough. Along hard need involve among half value.",https://picsum.photos/316/484,17.12,2025-10-24 01:57:19
6,Brennan-Garrison Snacks Mix,Food & Beverage,Snacks,Gonzalez Group,39.87,23.18,41.86,Star the development process huge. Ten whom evidence political hundred. Former agree theory end oil worker although.,https://placekitten.com/824/605,14.07,2025-02-04 20:52:34
7,Jordan PLC Skincare Kit,Beauty,Skincare,Dixon Ltd,125.73,58.9,53.15,"Exist professional people behavior. Pull different current agency each.
Sure authority increase picture create recent manager during. Throughout team those. Despite sound receive let newspaper true.",https://placekitten.com/567/992,13.72,2025-03-20 08:24:04
8,Mccarthy Inc Snacks Mix,Food & Beverage,Snacks,Russell-Daniels,25.22,10.41,58.72,"Deal information toward once. Task she herself. Wall fear hope.
Section national owner determine detail job ahead. Protect something right subject try wonder. Agree hour north agree poor career left.",https://picsum.photos/863/516,4.33,2025-06-18 02:02:43
9,Equipment Champion,Sports,Equipment,Wells Inc,443.49,291.44,34.28,Let eight hard paper white. Sing clearly find official. Office traditional heart walk cup.,https://picsum.photos/549/660,14.97,2025-11-05 01:26:32
10,Pro Apparel Gear,Sports,Apparel,Peterson-Beard,205.71,100.33,51.23,Act way beat result major serve real. Large admit family identify during professional hard.,https://dummyimage.com/739x367,15.86,2024-12-22 22:20:25
11,Pro Apparel Kit,Sports,Apparel,King Group,41.13,22.73,44.74,"Husband available picture approach. Specific we be easy.
Paper so difficult mission late kind. Wrong figure perform participant science way debate decision. Church community avoid able.",https://picsum.photos/591/899,13.67,2025-06-17 11:02:59
12,The Among Visit,Books,Educational,"Matthews, Smith and Hubbard",39.59,21.22,46.4,American series like prepare trouble consider one. Why like impact fly bit claim in.,https://dummyimage.com/546x268,19.44,2025-06-05 14:00:21
13,Organic Beverages,Food & Beverage,Beverages,Jimenez Ltd,52.25,23.12,55.75,"Relate indeed lot line lead certain course. Meet these tell everybody so increase various meet.
Rise study oil process tend.",https://dummyimage.com/679x205,12.02,2025-01-25 03:50:54
14,Pro Fitness Kit,Sports,Fitness,"Clay, Freeman and Weaver",64.82,35.34,45.48,Doctor range explain dinner. Its better plant their. Coach federal ahead food argue grow. Certainly most not society color bad.,https://placekitten.com/781/735,14.66,2025-04-11 08:11:54
